Country,Depressive Disorders - Total Cases,Depressive Disorders - % of Population,Anxiety Disorders - Total Cases,Anxiety Disorders - % of Population
Antigua and Barbuda,4424,5.10%,5327,6.10%
Argentina,1914354,4.70%,2542091,6.30%
Bahamas,1918,5.20%,2370,6.40%
Barbados,14586,5.40%,16240,6.10%
Belize,14956,4.40%,19295,5.70%
Bolivia (Plurinational State of),453716,4.40%,565857,5.40%
Brazil,11548577,5.80%,18657943,9.30%
Canada,1566039,4.10%,1622742,4.20%
Chile,844253,6.00%,1000584,6.50%
Colombia,2177280,4.30%,2691536,5.30%
Costa Rica,216080,4.70%,211977,4.60%
Cuba,605879,5.40%,577510,5.10%
Dominican Republic,464164,4.70%,570312,5.70%
Ecuador,721971,4.10%,890778,5.10%
El Salvador,255083,4.40%,267807,4.60%
Grenada,4844,7.30%,5910,7.50%
Guatemala,580994,3.50%,685524,4.20%
Guyana,33700,4.50%,42013,5.60%
Haiti,437639,4.30%,565509,5.00%
Honduras,308862,4.00%,335907,4.30%
Jamaica,134054,4.40%,198179,6.50%
Mexico,4936146,4.10%,4281809,3.60%
Nicaragua,192362,4.20%,257009,5.00%
Panama,162293,4.20%,206558,5.40%
Paraguay,282143,4.60%,468755,7.50%
Peru,1443513,4.90%,1730035,5.60%
Saint Lucia,8892,5.30%,10640,5.90%
Saint Vincent and the Grenadines,5144,4.90%,6187,5.80%
Suriname,24914,3.80%,30723,5.60%
Trinidad and Tobago,67614,5.70%,73175,6.10%
United States of America,17491047,5.00%,18711196,5.40%
Uruguay,158005,5.10%,203965,6.40%
Venezuela (Bolivarian Republic of),1270099,4.20%,1322024,4.40%
Afghanistan,1038610,3.30%,1238880,4.00%
Bahrain,62549,4.80%,56844,4.30%
Djibouti,43909,5.10%,28806,3.30%
Egypt,2995824,3.50%,3593172,4.20%
Iran (Islamic Republic of),3637308,4.40%,4381366,4.60%
Iraq,1263249,3.70%,1520449,4.50%
Jordan,287844,4.00%,306823,4.30%
Kuwait,181756,5.00%,165624,4.60%
Netherlands,752777,4.70%,1024103,6.40%
Norway,227446,4.70%,352815,7.40%
Poland,1878948,5.10%,1439553,3.90%
Portugal,578234,5.70%,502452,4.00%
Republic of Moldova,207247,5.00%,122481,3.20%
Romania,931842,5.00%,688815,3.70%
Russian Federation,3248174,5.50%,4478292,3.10%
Serbia,419902,5.00%,323600,3.80%
Slovakia,268516,5.10%,205731,3.90%
Slovenia,98964,5.10%,74661,3.80%
Spain,2408700,5.20%,1911186,4.10%
Sweden,446734,4.90%,381045,4.50%
Switzerland,388870,5.00%,383015,4.00%
Tajikistan,304018,3.80%,250738,3.10%
The former Yugoslav Republic of Macedonia,97232,5.00%,75708,3.00%
Turkey,3260677,4.40%,2998925,4.00%
Turkmenistan,214010,4.20%,175785,3.40%
Ukraine,2800587,6.30%,1410503,3.20%
United Kingdom,2692081,4.50%,2557430,4.20%
Uzbekistan,1186450,4.20%,933129,3.90%
Bangladesh,6391760,4.10%,6900212,4.40%
Bhutan,30947,4.20%,27304,3.70%
Democratic People's Republic of Korea,874632,3.70%,886706,3.70%
India,56675909,5.70%,38425093,15.90%
Indonesia,9162886,3.70%,8111774,3.30%
Maldives,127733,3.70%,113044,3.30%
Myanmar,1917983,3.70%,1727123,3.30%
Nepal,890361,3.20%,899454,3.50%
Sri Lanka,802321,4.10%,669259,3.40%
Thailand,2885221,4.40%,2275400,3.50%
Timor-Leste,33932,3.00%,32769,2.90%
