Substance,Children & Adolescents (10-17 years),,Adults (18-75 years),
,Prevalence,Estimated no. of users,Prevalence,Estimated no. of users
,( in %),,( in %),
Alcohol,1.3,"30,00,000",19.1,"15,10,00,000"
Cannabis,0.9,"20,00,000",3.3,"2,90,00,000"
Opioids,1.8,"40,00,000",2.1,"1,90,00,000"
Sedatives,0.58,"20,00,000",1.21,"1,10,00,000"
Inhalants,1.17,"30,00,000",0.58,"60,00,000"
Cocaine,0.06,"2,00,000",3.25,"1,10,00,000"
ATS,0.18,"4,00,000",0.18,"20,00,000"
Hallucinogens,0.07,"2,00,000",0.13,"20,00,000"
