Substance,Age Group,Prevalence (%)
Alcohol,Children & Adolescents (10-17 years),1.3
Cannabis,Children & Adolescents (10-17 years),0.9
Opioids,Children & Adolescents (10-17 years),1.8
Sedatives,Children & Adolescents (10-17 years),0.58
Inhalants,Children & Adolescents (10-17 years),1.17
Cocaine,Children & Adolescents (10-17 years),0.06
ATS,Children & Adolescents (10-17 years),0.18
Hallucinogens,Children & Adolescents (10-17 years),0.07
Alcohol,Adults (18-75 years),17.1
Cannabis,Adults (18-75 years),3.3
Opioids,Adults (18-75 years),2.1
Sedatives,Adults (18-75 years),1.21
Inhalants,Adults (18-75 years),0.58
Cocaine,Adults (18-75 years),0.11
ATS,Adults (18-75 years),0.18
Hallucinogens,Adults (18-75 years),0.13
